Make,Model
Toyota,Corolla
Toyota,Camry
Toyota,RAV4
Toyota,Land Cruiser
Toyota,Hilux
Toyota,Yaris
Honda,Civic
Honda,Accord
Honda,CR-V
Honda,HR-V
Nissan,Sunny
Nissan,X-Trail
Nissan,Patrol
Nissan,Kicks
Mitsubishi,Lancer
Mitsubishi,Outlander
Mitsubishi,Pajero
Suzuki,Swift
Suzuki,Alto
Suzuki,Vitara
Mazda,3
Mazda,CX-5
Mazda,6
Hyundai,Accent
Hyundai,Tucson
Hyundai,Sonata
Kia,Picanto
Kia,Sportage
Kia,Rio
Ford,Ranger
Ford,Explorer
Chevrolet,Spark
Chevrolet,Cruze
BMW,3 Series
BMW,5 Series
BMW,X5
Mercedes-Benz,C-Class
Mercedes-Benz,E-Class
Mercedes-Benz,GLC
Audi,A4
Audi,Q5
Volkswagen,Golf
Volkswagen,Polo
Isuzu,D-Max
Isuzu,MU-X
